submap,latitude,longitude,label_latitude,label_longitude,date,name
ES,40.417002,-3.7033790,40.417002,-3.7033790,20120101,Madrid
AZ,40.410562,49.8667940,40.410562,49.8667940,,Baku
AM,40.353417,45.3357940,40.353417,45.3357940,,Lake Sevan
AZ,40.298813,50.3479460,40.298813,50.3479460,,Absheron Natinoal Park
AM,40.197527,44.5180010,40.197527,44.5180010,,Yerevan
AZ,40.101201,49.4004550,40.101201,49.4004550,,Qobustan
AL,40.080162,20.1382980,40.080162,20.1382980,,Gjirokastër
AL,40.072478,19.7638470,40.072478,19.7638470,,Albánská riviéra
AL,39.924976,20.1968150,39.924976,20.1968150,,Blue Eye Nature Monument
ES,39.694282,3.01737400,39.694282,3.01737400,,Majorca
AM,39.684704,45.2329140,39.684704,45.2329140,,Noravank
AZ,39.585834,49.1221550,39.585834,49.1221550,,Shirvan National Park
AM,39.018541,46.4623970,39.018541,46.4623970,,Shikahogh State Reserve
PT,38.802864,-9.3816630,39.130391,-8.0816630,,Sintra
PT,38.780391,-9.4991180,39.130391,-10.299118,,Cabo da Roca
PT,38.722254,-9.1393510,38.422254,-9.5393510,,Lisboa
TR,38.658891,34.8531300,38.658891,34.8531300,,Cappadocia
AZ,38.488102,48.8662390,38.488102,48.8662390,,Astara
GR,38.481566,22.4942640,38.481566,22.4942640,,Delphi
GR,37.985507,23.7273660,37.985507,23.7273660,,Athens
GR,37.973693,23.7255300,37.532868,24.3623040,,Acropolis
TR,37.941012,27.3413950,38.141012,27.3413950,,Ephesus Ancient City
TR,37.913722,29.1187050,37.713722,29.1187050,,Pamukkale
ES,37.889327,-4.7792600,37.889327,-4.7792600,,Cordoba
PT,37.761986,-25.474147,37.761986,-25.474147,,Lagoa do Fogo
PT,37.741080,-25.675461,37.741080,-25.675461,,Azores
IT,37.419433,14.6568980,37.419433,14.6568980,,Sicily
ES,37.388992,-5.9845130,37.388992,-5.9845130,20120101,Sevilla
PT,37.255515,-8.3964990,37.355515,-8.4964990,,Faro
ES,37.182376,-3.6012330,37.182376,-3.6012330,20120101,Granada
PT,37.133602,-7.6430410,37.033602,-7.6430410,,Tavira
ES,37.090941,-3.3967100,37.540941,-3.0967100,20120101,Sierra Nevada
GR,37.069317,22.3757060,37.069317,22.3757060,,Mystras
PT,37.016836,-8.9406000,37.016836,-9.0406000,,Sagres
ES,36.944991,-2.4631300,36.844991,-2.4631300,,Rioja
TR,36.793162,28.6191290,36.793162,28.6191290,,Iztuzu Beach
ES,36.740833,-5.1659770,36.740833,-5.1659770,,Puente Nuevo
GR,36.446423,28.2175370,36.446423,28.2175370,,Rhodes
GR,36.396042,25.4616930,36.396042,25.4616930,,Santorini
TR,36.200825,29.6392060,36.200825,29.6392060,,Kaş
TR,36.183807,29.8831000,36.183807,29.8831000,,Kekova Island
MT,36.044291,14.2512580,36.858445,8.34766400,,Gozo
MT,36.013958,14.3227960,36.803466,10.2880320,,Blue Lagoon
MT,35.899270,14.5141160,35.794890,10.2988120,,Valletta
MT,35.881994,14.3988070,35.773958,8.69164900,,Rabat
MT,35.853772,14.4385700,35.376404,9.06999000,,Siggiewi
MT,35.852148,14.3853260,35.570018,6.79094300,,Dingli Cliffs
MT,35.820843,14.4573950,34.912947,8.67211800,,Blue Grotto
GR,35.244638,24.8083880,35.244638,24.8083880,,Crete
CY,35.186200,33.3819750,35.186200,33.3819750,,Nicosia
CY,35.045743,32.2983010,35.045743,32.2983010,,Akama National Forest Park
CY,34.961893,34.0833280,34.961893,34.0833280,,Cape Greco
CY,34.924826,33.6196620,34.924826,33.6196620,,Larnaca
CY,34.775542,32.4069900,34.775542,32.4069900,,Tombs of the Kings
