number,name,submap,latitude,longitude,values,date
331,Petroglyph NM,NM,35.12462130509288,-106.7525932837392,0.0,0
332,Pictured Rocks NL,MI,46.56890589447937,-86.3186316831853,0.0,0
333,Pinnacles NP,CA,36.51859164165713,-121.1892998584751,0.0,20150515
334,Pipe Spring NM,AZ,36.86336850972473,-112.73761125419036,0.0,0
335,Pipestone NM,MI,44.01364346667158,-96.32518984559222,0.0,20181009
336,Piscataway Park,DC,38.68789938334353,-77.04993678838738,0.0,20151010
337,Point Reyes NS,CA,38.05449275957061,-122.88788051767848,0.0,20190629
338,Pony Express NHT,WY,42.06220628138199,-104.18410616352395,0.0,20181011
339,Port Chicago Naval Magazine NM,CA,38.058786541140016,-122.03021316622797,0.0,20190706
340,Potomac Heritage NST,VA,39.05222156397165,-77.33419802168181,0.0,20151010
341,Poverty Point NM,LA,32.637297841185884,-91.40342207847908,0.0,20171130
342,President Bill Clinton Birthplace Home NHS,AR,33.668742302880155,-93.59631669160082,0.0,20171129
