submap,latitude,longitude,date,name,geometry
MD,39.50092950506559,-77.84491835375542,2016-05-30,Chesapeake and Ohio Canal NHP,POINT (-77.84491835375542 39.50092950506559)
MD,39.467669379037275,-77.736385728196,2016-05-30,Antietam NB,POINT (-77.736385728196 39.467669379037275)
MD,39.41697560479516,-76.58767335148984,2016-03-27,Hampton NHS,POINT (-76.58767335148984 39.41697560479516)
KS,39.3934436685301,-99.61468389710816,,Nicodemus NHS,POINT (-99.61468389710816 39.3934436685301)
MD,39.37812709886845,-77.39706560181676,2016-05-28,Monocacy NB,POINT (-77.39706560181676 39.37812709886845)
OH,39.376187652424065,-83.00648435929486,2018-10-05,Hopewell Culture NHP,POINT (-83.00648435929486 39.376187652424065)
WV,39.31817805934144,-77.75811552151214,2016-05-30,Harpers Ferry NHP,POINT (-77.75811552151214 39.31817805934144)
NJ,39.307595839348,-74.65032631400062,2016-07-17,Great Egg Harbor SRR,POINT (-74.65032631400062 39.307595839348)
MD,39.266286062087914,-76.57853102243804,2015-10-10,Star Spangled Banner NST,POINT (-76.57853102243804 39.266286062087914)
MD,39.26457875530224,-76.58059831080388,2016-03-27,Fort McHenry NM,POINT (-76.58059831080388 39.26457875530224)
OH,39.11978221613583,-84.50830191830231,2018-10-06,William Howard Taft NHS,POINT (-84.50830191830231 39.11978221613583)
MO,39.09393626572962,-94.42354109483168,,Harry S Truman NHS,POINT (-94.42354109483168 39.09393626572962)
VA,39.05222156397165,-77.33419802168181,2015-10-10,Potomac Heritage NST,POINT (-77.33419802168181 39.05222156397165)
CO,39.05092961607754,-108.69219470896256,,Colorado NM,POINT (-108.69219470896256 39.05092961607754)
KS,39.03942159628702,-95.67632942616932,,Brown v Board of Education NHP,POINT (-95.67632942616932 39.03942159628702)
VA,39.02440273417588,-78.3052902906048,2016-05-30,Shenandoah Battlefields NHP,POINT (-78.3052902906048 39.02440273417588)
VA,39.01151567945355,-78.30409231361752,2016-05-30,Cedar Creek and Belle Grove NHP,POINT (-78.30409231361752 39.01151567945355)
DC,38.984067308693184,-76.89728799793228,2015-12-28,Greenbelt Park,POINT (-63.91863993796859 31.52201926079546)
DC,38.9678739294092,-77.04520712383106,2016-03-26,Rock Creek Park,POINT (-68.35621371493204 31.036217882276027)
MD,38.967632375221086,-77.1409490820061,2015-12-28,Clara Barton NHS,POINT (-77.1409490820061 38.967632375221086)
NV,38.94668392274632,-114.25657156761416,,Great Basin NP,POINT (-114.25657156761416 38.94668392274632)
VA,38.93917027120216,-77.26607108516673,2015-12-29,Wolf Trap Performing Arts Park,POINT (-77.26607108516673 38.93917027120216)
VA,38.91819588707799,-78.04962008604608,2016-05-30,Appalachian NST,POINT (-78.04962008604608 38.91819588707799)
CO,38.91431659580663,-105.28548855679485,2018-10-15,Florissant Fossil Beds NM,POINT (-105.28548855679485 38.91431659580663)
DC,38.91125417834611,-77.02423756614559,2015-12-26,Carter G Woodson NHS,POINT (-67.72712698436777 29.33762535038342)
DC,38.90856763949765,-77.03061904499701,2015-12-26,Mary McLeod Bethune Council House NHS,POINT (-67.91857134991015 29.257029184929394)
UT,38.90123647498111,-109.59951465362391,2015-05-26,Arches NP,POINT (-109.59951465362391 38.90123647498111)
DC,38.899210856728466,-77.0349814727403,2015-12-26,Pennsylvania Avenue NHS,POINT (-68.04944418220902 28.976325701854073)
DC,38.897954576743615,-77.03665460800121,2015-12-26,The White House - President's Park,POINT (-68.09963824003663 28.938637302308535)
DC,38.89719763807421,-77.02657323426008,2015-12-26,Peterson House NHS,POINT (-67.79719702780274 28.91592914222634)
DC,38.89687390768802,-77.03292131186517,2015-12-26,World War 1 Mem,POINT (-67.98763935595515 28.906217230640664)
DC,38.89675439332076,-77.06231710443734,2015-12-28,Theodore Roosevelt Island Park,POINT (-68.86951313312028 28.902631799622796)
DC,38.895059553044554,-77.02730277187794,2015-12-26,Old Post Offce Tower Mem,POINT (-67.8190831563382 28.851786591336555)
DC,38.89395001562354,-77.00390169606317,2016-07-16,Belmont-Paul Women's Equality NM,POINT (-67.11705088189501 28.81850046870624)
DC,38.89208094484619,-77.04451718355719,2015-12-26,Constitution Gardens Park,POINT (-68.33551550671561 28.762428345385878)
DC,38.89195576683313,-77.04774581624858,2015-12-26,Vietnam Veterans Mem,POINT (-68.43237448745728 28.758673004993746)
DC,38.89040165409813,-77.03512523762963,2015-12-26,National Mall Park,POINT (-68.05375712888888 28.712049622943937)
DC,38.89022987158848,-77.03533505408237,2015-12-26,Washington Monument Park,POINT (-68.06005162247098 28.706896147654398)
DC,38.8896413730621,-77.05010210292797,2015-12-26,Lincoln Mem,POINT (-68.50306308783895 28.68924119186284)
DC,38.88949764654867,-77.04054991775779,2015-12-26,World War II Mem,POINT (-68.21649753273373 28.684929396460028)
DC,38.888596528426525,-77.04771046821497,2015-12-26,Korean War Veterans Mem,POINT (-68.43131404644919 28.65789585279581)
DC,38.888100564808624,-77.0188737950604,2015-12-26,Dwight D Eisenhower Mem,POINT (-67.56621385181204 28.643016944258775)
DC,38.887150969818826,-77.04454599306426,2015-12-26,Martin Luther King Jr. Mem,POINT (-68.3363797919278 28.61452909456471)
DC,38.883992910218346,-77.04284097136262,2015-12-26,Franklin Delano Roosevelt Memorial,POINT (-68.28522914087846 28.519787306550477)
VA,38.882517088515776,-77.07278846059576,2015-12-28,Arlington House Mem,POINT (-77.07278846059576 38.882517088515776)
DC,38.881721948686064,-77.0365911904093,2015-12-26,Jefferson Mem,POINT (-68.09773571227896 28.45165846058184)
DC,38.88064052172131,-77.05136742180211,2015-12-28,LBJ Memorial Grove on the Potomac Park,POINT (-68.54102265406327 28.419215651639256)
DC,38.86827946871436,-76.99534993111291,2015-12-29,Anacostia Park,POINT (-66.86049793338742 28.04838406143095)
DC,38.866319856497505,-76.99391707599662,2015-12-26,National Capital Parks-East Park,POINT (-66.8175122798988 27.98959569492512)
DC,38.863635158833034,-76.98524052293541,2015-12-29,Frederick Douglass NHS,POINT (-66.5572156880622 27.909054764991055)
DC,38.84422322681608,-77.04923834964205,2015-12-28,George Washington Mem. PKWY,POINT (-68.47715048926142 27.326696804482346)
VA,38.81731461136668,-77.53530729551818,2015-10-10,Manassas NBP,POINT (-77.53530729551818 38.81731461136668)
DC,38.76879716,-77.02553698,2015-12-26,Ford's Theatre NHS,POINT (-67.7661093999998 25.063914799999942)
DC,38.767842718889845,-77.02496847503694,2015-10-10,Fort Foote Park,POINT (-67.74905425110815 25.035281566695424)
MD,38.7120110173,-77.02874790345528,2015-10-10,Fort Washington Park,POINT (-77.02874790345528 38.7120110173)
MD,38.68789938334353,-77.04993678838737,2015-10-10,Piscataway Park,POINT (-77.04993678838737 38.68789938334353)
IN,38.67897941591457,-87.53671640309021,2016-08-11,George Rogers Clark NHP,POINT (-87.53671640309021 38.67897941591457)
UT,38.625504043574765,-90.18608880999713,,Gateway Arch NP,POINT (-90.18608880999713 38.625504043574765)
CO,38.62146529286767,-107.7430049188367,,Black Canyon of the Gunnison NP,POINT (-107.7430049188367 38.62146529286767)
VA,38.58581645654556,-77.38427849677515,2015-10-09,Prince William Forest Park,POINT (-77.38427849677515 38.58581645654556)
MI,38.551456489713054,-90.35175170727464,,Ulysses S Grant NHS,POINT (-90.35175170727464 38.551456489713054)
CO,38.54475888885499,-102.50388618527974,,Sand Creek Massacre NHS,POINT (-102.50388618527974 38.54475888885499)
MD,38.530532025810444,-77.03627387774036,2015-10-11,Thomas Stone NHS,POINT (-77.03627387774036 38.530532025810444)
VA,38.497963498666046,-78.4506273856569,2016-05-30,Shenandoah NP,POINT (-78.4506273856569 38.497963498666046)
CO,38.46627876598758,-107.16673209445348,,Curecanti NRA,POINT (-107.16673209445348 38.46627876598758)
VA,38.45051450656644,-76.13770687676381,2016-03-25,Harriet Tubman Underground Railroad NHP,POINT (-76.13770687676381 38.45051450656644)
